STATION,STATION_NAME,YEAR,Month,Flag,TPCP_10thmm,Missing,Consecutive Missing,
GHCND:USC00027560,SAN SIMON AZ US,1946,11,1,163,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1946,12,1,8,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1947,1,1,153,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1947,2,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1947,3,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1947,4,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1947,5,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1947,6,1,163,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1947,7,1,272,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1947,8,1,281,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1947,9,1,25,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1947,10,1,25,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1947,11,1,64,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1947,12,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1948,1,1,13,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1948,2,1,33,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1948,3,1,36,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1948,4,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1948,5,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1948,6,1,43,0,0,
GHCND:average,SAN SIMON 9 NE 5 NW,1948,7,1,533,0,0,
GHCND:average,SAN SIMON 9 NE 5 NW,1948,8,1,426.5,0,0,
GHCND:average,SAN SIMON 9 NE 5 NW,1948,9,1,148.5,0,0,
GHCND:average,SAN SIMON 9 NE 5 NW,1948,10,1,220.5,0,0,
GHCND:average,SAN SIMON 9 NE 5 NW,1948,11,1,0,0,0,
GHCND:average,SAN SIMON 9 NE 5 NW,1948,12,1,393,0,0,
GHCND:average,SAN SIMON 9 NE 5 NW,1948,1,1,473.5,0,0,
GHCND:USC00027565,SAN SIMON 9 NE AZ US,1949,2,1,290,0,0,
GHCND:USC00027565,SAN SIMON 9 NE AZ US,1949,3,1,71,0,0,
GHCND:USC00027565,SAN SIMON 9 NE AZ US,1949,4,1,64,0,0,
GHCND:USC00027565,SAN SIMON 9 NE AZ US,1949,5,1,38,0,0,
GHCND:USC00027565,SAN SIMON 9 NE AZ US,1949,6,1,318,0,0,
GHCND:USC00027565,SAN SIMON 9 NE AZ US,1949,7,1,445,0,0,
GHCND:USC00027565,SAN SIMON 9 NE AZ US,1949,8,1,588,0,0,
GHCND:USC00027565,SAN SIMON 9 NE AZ US,1949,9,1,613,0,0,
GHCND:USC00027565,SAN SIMON 9 NE AZ US,1949,10,1,254,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1949,2,1,239,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1949,3,1,71,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1949,4,1,58,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1949,5,1,30,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1949,6,1,305,0,0,
